speaker_id,condition,trial,vowel_duration_ms
S18,voiceless,10,110.7
S18,voiceless,11,124.8
S18,voiceless,12,115.2
S18,voiceless,13,103.4
S18,voiceless,14,131.1
S18,voiceless,15,130.2
S19,voiced,1,156.2
S19,voiced,2,157.2
S19,voiced,3,170.2
S19,voiced,4,155.7
S19,voiced,5,145.9
S19,voiced,6,146.8
S19,voiced,7,153.7
S19,voiced,8,151.3
S19,voiced,9,145.7
S19,voiced,10,161.9
S19,voiced,11,152.2
S19,voiced,12,157.4
S19,voiced,13,141.0
S19,voiced,14,148.6
S19,voiced,15,151.8
S19,voiceless,1,100.9
S19,voiceless,2,106.3
S19,voiceless,3,118.7
S19,voiceless,4,110.2
S19,voiceless,5,111.3
S19,voiceless,6,122.9
S19,voiceless,7,130.0
S19,voiceless,8,117.0
S19,voiceless,9,120.8
S19,voiceless,10,94.5
S19,voiceless,11,98.0
S19,voiceless,12,108.1
S19,voiceless,13,116.3
S19,voiceless,14,115.8
S19,voiceless,15,126.5
S20,voiced,1,179.0
S20,voiced,2,183.4
S20,voiced,3,189.1
S20,voiced,4,197.9
S20,voiced,5,179.0
S20,voiced,6,207.5
S20,voiced,7,182.7
S20,voiced,8,204.1
S20,voiced,9,175.0
S20,voiced,10,171.3
S20,voiced,11,191.8
S20,voiced,12,176.9
S20,voiced,13,161.0
S20,voiced,14,206.5
S20,voiced,15,155.5
S20,voiceless,1,164.7
S20,voiceless,2,137.4
S20,voiceless,3,175.8
S20,voiceless,4,140.8
S20,voiceless,5,136.7
S20,voiceless,6,146.2
S20,voiceless,7,160.9
S20,voiceless,8,165.6
S20,voiceless,9,143.8
S20,voiceless,10,159.5
S20,voiceless,11,137.6
S20,voiceless,12,168.3
S20,voiceless,13,139.8
S20,voiceless,14,154.2
S20,voiceless,15,147.1
